ID DEPATAMENTO;DEPARTAMENTO;ID MUNICIPIO;MUNICIPIO;ID LOCALIDAD;LOCALIDAD;AÑO SERVICIO;MES SERVICIO;ENERGÍA ACTIVA;ENERGÍA REACTIVA;POTENCIA MÁXIMA;DÍA DE DEMANDA MÁXIMA;FECHA DE DEMANDA MÁXIMA;PROMEDIO DIARIO EN HORAS
52;NARIÑO;52250;EL CHARCO;52250007;SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO);2022;1;16612;4662;80;lunes;01/31/2022 09:15:00 PM;81
52;NARIÑO;52390;LA TOLA;52390003;LA VIGÍA DE LA MAR (LA TOLA - NARIÑO);2022;1;7083;3306;3548;miércoles;01/12/2022 11:15:00 PM;93
52;NARIÑO;52390;LA TOLA;52390009;MULATOS (LA TOLA - NARIÑO);2022;1;4201;1947;3536;lunes;01/31/2022 05:30:00 PM;619
52;NARIÑO;52390;LA TOLA;52390016;SAN PABLO DEL MAR (LA TOLA - NARIÑO);2022;1;1149;350;2701;jueves;01/06/2022 08:00:00 PM;144
52;NARIÑO;52490;OLAYA HERRERA;52490913;BOCA DE PRIETA (OLAYA HERRERA - NARIÑO);2022;1;2675;749;1764;martes;01/11/2022 07:30:00 PM;722
52;NARIÑO;52835;SAN ANDRÉS DE TUMACO;52835055;BOCAS DE CURAY (TUMACO - NARIÑO);2022;1;8122;2524;60;lunes;01/03/2022 06:45:00 PM;553
52;NARIÑO;52835;SAN ANDRÉS DE TUMACO;52835016;PITAL DE LA COSTA (TUMACO - NARIÑO);2022;1;14171;7383;80;domingo;01/30/2022 07:15:00 PM;736
52;NARIÑO;52835;SAN ANDRÉS DE TUMACO;52835217;SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO);2022;1;16552;6129;144;martes;01/04/2022 06:45:00 PM;546
52;NARIÑO;52696;SANTA BÁRBARA (ISCUANDÉ);52696014;LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO);2022;1;2621;1179;168;miércoles;01/19/2022 07:45:00 PM;601
52;NARIÑO;52696;SANTA BÁRBARA (ISCUANDÉ);52696022;SECADERO (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO);2022;1;2814;2067;1246;miércoles;01/26/2022 07:00:00 PM;923
86;PUTUMAYO;86573;PUERTO LEGUÍZAMO;86573009;PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO);2022;1;4221;2702;256;lunes;01/31/2022 07:45:00 PM;655
