id_depatamento,departamento,id_municipio,municipio,id_localidad,localidad,ano_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_de_demanda_maxima,fecha_de_demanda_maxima,promedio_diario_en_horas
27.0,choco,27075.0,bahia_solano_(mutis),27075000.0,ciudad_mutis_(bahia_solano_-_choco),2020.0,4.0,543460.0,213836.0,1034.44,sabado,04/04/2020_07:15:00_pm,23.59
27.0,choco,27075.0,bahia_solano_(mutis),27075001.0,cupica_(bahia_solano_-_choco),2020.0,4.0,56596.0,22456.0,134.18,miercoles,04/22/2020_07:30:00_pm,23.47
27.0,choco,27075.0,bahia_solano_(mutis),27075002.0,el_valle_(bahia_solano_-_choco),2020.0,4.0,137435.0,60116.0,302.02,viernes,04/03/2020_07:00:00_pm,23.55
27.0,choco,27077.0,bajo_baudo_(pizarro),27077000.0,pizarro_(bajo_baudo_(pizarro)_-_choco),2020.0,4.0,188972.0,86448.0,402.86,lunes,04/20/2020_07:30:00_pm,22.35
27.0,choco,27099.0,bojaya_(bellavista),27099000.0,bellavista_(bojaya_(bellavista)_-_choco),2020.0,4.0,77252.0,29130.0,216.13,miercoles,04/22/2020_07:30:00_pm,16.0
27.0,choco,27099.0,bojaya_(bellavista),27099002.0,la_loma_de_bojaya_(bojaya_(bellavista)_-_choco),2020.0,4.0,12637.0,5003.0,73.6,martes,04/14/2020_06:45:00_pm,7.56
27.0,choco,27099.0,bojaya_(bellavista),27099005.0,napipi_(bojaya_(bellavista)_-_choco),2020.0,4.0,9750.0,2342.0,64.0,sabado,04/11/2020_08:15:00_pm,6.02
27.0,choco,27099.0,bojaya_(bellavista),27099008.0,puerto_conto_(bojaya_(bellavista)_-_choco),2020.0,4.0,6144.0,1567.0,48.0,lunes,04/20/2020_07:00:00_pm,5.03
27.0,choco,27250.0,el_litoral_del_san_juan,27250000.0,santa_genoveva_de_docordo_(el_litoral_del_san_juan_-_choco),2020.0,4.0,35046.0,17760.0,163.94,lunes,04/20/2020_07:30:00_pm,10.49
27.0,choco,27425.0,medio_atrato_(bete),27425000.0,bete_(medio_atrato_(bete)_-_choco),2020.0,4.0,7109.0,2671.0,76.0,martes,04/14/2020_07:00:00_pm,4.53
27.0,choco,27495.0,nuqui,27495001.0,arusi_(nuqui_-_choco),2020.0,4.0,10079.0,3967.0,51.2,miercoles,04/22/2020_07:00:00_pm,8.02
27.0,choco,27495.0,nuqui,27495912.0,comunidad_indigena_de_pangui_-_el_yucal_(nuqui_-_choco),2020.0,4.0,3676.0,1170.0,11.3,lunes,04/13/2020_03:30:00_pm,18.18
27.0,choco,27495.0,nuqui,27495000.0,nuqui_(nuqui_-_choco),2020.0,4.0,222280.0,71008.0,464.64,martes,04/28/2020_07:15:00_pm,24.0
27.0,choco,27001.0,quibdo,27001029.0,tagachi_(quibdo_-_choco),2020.0,4.0,3386.0,733.0,52.22,sabado,04/11/2020_07:45:00_pm,2.38
27.0,choco,27745.0,sipi,27745000.0,sipi_(sipi_-_choco),2020.0,4.0,11009.0,3069.0,74.8,jueves,04/30/2020_07:15:00_pm,5.51
27.0,choco,27800.0,unguia,27800001.0,balboa_(unguia_-_choco),2020.0,4.0,15223.0,6318.0,74.24,sabado,04/18/2020_07:15:00_pm,8.15
27.0,choco,27800.0,unguia,27800005.0,titumate_(unguia_-_choco),2020.0,4.0,8868.0,3169.0,66.62,lunes,04/13/2020_07:45:00_pm,5.21
27.0,choco,27800.0,unguia,27800000.0,unguia_(unguia_-_choco),2020.0,4.0,255627.0,92448.0,770.88,sabado,04/25/2020_08:30:00_pm,16.07
94.0,guainia,94343.0,barrancominas,94343000.0,barrancominas_(barrancominas_-_guainia),2020.0,4.0,36593.0,12680.0,159.63,sabado,04/25/2020_06:45:00_pm,10.18
94.0,guainia,94001.0,inirida,94001000.0,inirida_(inirida_-_guainia),2020.0,4.0,1470572.0,504667.0,2740.32,jueves,04/16/2020_02:30:00_pm,24.0
95.0,guaviare,95200.0,miraflores,95200000.0,miraflores_(miraflores_-_guaviare),2020.0,4.0,76385.0,26715.0,192.72,jueves,04/16/2020_06:30:00_pm,18.42
44.0,la_guajira,44847.0,uribia,44847012.0,nazareth_(uribia_-_la_guajira),2020.0,4.0,27348.0,11383.0,243.12,jueves,04/16/2020_07:15:00_pm,5.18
47.0,magdalena,47189.0,cienaga,47189018.0,palmor_(cienaga_-_magdalena),2020.0,4.0,81023.0,28009.0,169.6,miercoles,04/08/2020_07:00:00_pm,23.04
50.0,meta,50325.0,mapiripan,50325000.0,mapiripan_(mapiripan_-_meta),2020.0,4.0,127291.0,51428.0,261.36,jueves,04/30/2020_07:00:00_pm,23.38
52.0,narino,52250.0,el_charco,52250023.0,bazan_(el_charco_-_narino),2020.0,4.0,19032.0,10726.0,110.4,jueves,04/30/2020_09:00:00_pm,7.06
52.0,narino,52250.0,el_charco,52250003.0,bolivar_-_san_pedro_(el_charco_-_narino),2020.0,4.0,4411.0,3293.0,22.21,miercoles,04/08/2020_07:45:00_pm,7.45
52.0,narino,52250.0,el_charco,52250007.0,san_jose_del_tapaje_(el_charco_-_narino),2020.0,4.0,16410.0,3622.0,104.0,martes,04/14/2020_07:30:00_pm,7.09
52.0,narino,52390.0,la_tola,52390013.0,amarales_(la_tola_-_narino),2020.0,4.0,9766.0,2117.0,68.7,miercoles,04/08/2020_07:00:00_pm,6.13
52.0,narino,52390.0,la_tola,52390003.0,la_vigia_de_la_mar_(la_tola_-_narino),2020.0,4.0,6428.0,2565.0,34.04,martes,04/07/2020_12:30:00_am,7.54
52.0,narino,52390.0,la_tola,52390009.0,mulatos_(la_tola_-_narino),2020.0,4.0,3932.0,2249.0,38.5,lunes,04/20/2020_05:45:00_pm,5.47
52.0,narino,52390.0,la_tola,52390016.0,san_pablo_del_mar_(la_tola_-_narino),2020.0,4.0,4908.0,1168.0,30.85,domingo,04/05/2020_07:00:00_pm,6.33
52.0,narino,52490.0,olaya_herrera,52490913.0,boca_de_prieta_(olaya_herrera_-_narino),2020.0,4.0,4257.0,853.0,22.68,lunes,04/13/2020_07:00:00_pm,7.1
52.0,narino,52490.0,olaya_herrera,52490008.0,san_jose_calabazal_(olaya_herrera_-_narino),2020.0,4.0,6747.0,2047.0,45.65,miercoles,04/08/2020_07:15:00_pm,5.54
52.0,narino,52835.0,san_andres_de_tumaco,52835055.0,bocas_de_curay_(tumaco_-_narino),2020.0,4.0,7703.0,1303.0,57.6,miercoles,04/08/2020_07:15:00_pm,6.06
52.0,narino,52835.0,san_andres_de_tumaco,52835016.0,pital_de_la_costa_(tumaco_-_narino),2020.0,4.0,18750.0,10714.0,92.0,domingo,04/19/2020_07:45:00_pm,8.44
52.0,narino,52835.0,san_andres_de_tumaco,52835212.0,pueblo_nuevo_(tablon_salado)_(tumaco_-_narino),2020.0,4.0,2976.0,1064.0,17.95,viernes,04/03/2020_07:00:00_pm,6.59
52.0,narino,52835.0,san_andres_de_tumaco,52835217.0,san_juan_de_la_costa_(san_andres_de_tumaco_-_narino),2020.0,4.0,32742.0,27695.0,147.2,lunes,04/27/2020_06:45:00_pm,10.12
52.0,narino,52696.0,santa_barbara_(iscuande),52696014.0,la_ensenada_(santa_barbara_(iscuande)_-_narino),2020.0,4.0,3919.0,5273.0,25.92,sabado,04/18/2020_07:30:00_pm,5.53
52.0,narino,52696.0,santa_barbara_(iscuande),52696017.0,santa_rita_(santa_barbara_(iscuande)_-_narino),2020.0,4.0,8035.0,4377.0,38.2,jueves,04/30/2020_07:15:00_pm,8.41
86.0,putumayo,86573.0,puerto_leguizamo,86573009.0,pinuna_negro_(puerto_leguizamo_-_putumayo),2020.0,4.0,2734.0,1311.0,22.4,domingo,04/26/2020_08:45:00_pm,5.08
86.0,putumayo,86573.0,puerto_leguizamo,86573000.0,puerto_leguizamo_(puerto_leguizamo_-_putumayo),2020.0,4.0,833519.0,267292.0,1680.01,martes,04/14/2020_03:30:00_pm,24.0
76.0,valle_del_cauca,76109.0,buenaventura,76109028.0,puerto_merizalde_(buenaventura_-_valle_del_cauca),2020.0,4.0,42249.0,12924.0,287.94,jueves,04/30/2020_06:15:00_pm,6.28
76.0,valle_del_cauca,76109.0,buenaventura,76109032.0,san_francisco_naya_(buenaventura_-_valle_del_cauca),2020.0,4.0,5113.0,3960.0,35.58,sabado,04/18/2020_06:15:00_pm,5.57
97.0,vaupes,97161.0,caruru,97161000.0,caruru_(caruru_-_vaupes),2020.0,4.0,21995.0,7588.0,90.64,jueves,04/16/2020_06:45:00_pm,12.17
